,ymin,xmin,ymax,xmax
168,0.081578955,0.92368424,0.18157895,1.0236843
169,0.06086827,0.8322629,0.20228964,1.1151056
170,-0.009842411,0.9029736,0.2730003,1.044395
171,0.13421053,-0.023684211,0.23421052,0.07631579
172,0.11349984,-0.11510557,0.2549212,0.16773716
173,0.04278916,-0.04439489,0.3256319,0.09702647
174,0.13421053,0.028947365,0.23421052,0.12894736
175,0.11349984,-0.062473997,0.2549212,0.22036873
176,0.04278916,0.008236684,0.3256319,0.14965805
177,0.13421053,0.081578955,0.23421052,0.18157895
178,0.11349984,-0.009842411,0.2549212,0.2730003
179,0.04278916,0.06086827,0.3256319,0.20228964
180,0.13421053,0.13421053,0.23421052,0.23421052
181,0.11349984,0.04278916,0.2549212,0.3256319
182,0.04278916,0.11349984,0.3256319,0.2549212
183,0.13421053,0.18684211,0.23421052,0.2868421
184,0.11349984,0.09542075,0.2549212,0.37826347
185,0.04278916,0.16613144,0.3256319,0.30755278
186,0.13421053,0.23947369,0.23421052,0.3394737
187,0.11349984,0.14805232,0.2549212,0.43089503
188,0.04278916,0.218763,0.3256319,0.36018437
189,0.13421053,0.29210523,0.23421052,0.39210525
190,0.11349984,0.20068388,0.2549212,0.4835266
191,0.04278916,0.27139455,0.3256319,0.41281593
192,0.13421053,0.3447368,0.23421052,0.44473684
193,0.11349984,0.25331545,0.2549212,0.5361582
194,0.04278916,0.32402614,0.3256319,0.46544752
195,0.13421053,0.3973684,0.23421052,0.49736843
196,0.11349984,0.30594707,0.2549212,0.58878976
197,0.04278916,0.37665772,0.3256319,0.5180791
198,0.13421053,0.45,0.23421052,0.55
199,0.11349984,0.35857862,0.2549212,0.6414214
200,0.04278916,0.4292893,0.3256319,0.57071066
201,0.13421053,0.5026316,0.23421052,0.6026316
202,0.11349984,0.41121024,0.2549212,0.694053
203,0.04278916,0.48192093,0.3256319,0.6233423
204,0.13421053,0.55526316,0.23421052,0.6552632
205,0.11349984,0.4638418,0.2549212,0.74668455
206,0.04278916,0.5345525,0.3256319,0.67597383
207,0.13421053,0.6078947,0.23421052,0.70789474
208,0.11349984,0.51647335,0.2549212,0.7993161
209,0.04278916,0.5871841,0.3256319,0.7286054
210,0.13421053,0.66052634,0.23421052,0.76052636
211,0.11349984,0.56910497,0.2549212,0.8519477
212,0.04278916,0.6398157,0.3256319,0.781237
213,0.13421053,0.7131579,0.23421052,0.8131579
214,0.11349984,0.6217365,0.2549212,0.9045793
215,0.04278916,0.69244725,0.3256319,0.83386856
216,0.13421053,0.7657895,0.23421052,0.86578953
217,0.11349984,0.67436814,0.2549212,0.9572109
218,0.04278916,0.74507886,0.3256319,0.8865002
219,0.13421053,0.81842107,0.23421052,0.9184211
220,0.11349984,0.7269997,0.2549212,1.0098424
221,0.04278916,0.7977104,0.3256319,0.93913174
222,0.13421053,0.8710526,0.23421052,0.97105265
223,0.11349984,0.77963126,0.2549212,1.062474
224,0.04278916,0.850342,0.3256319,0.9917633
225,0.13421053,0.92368424,0.23421052,1.0236843
226,0.11349984,0.8322629,0.2549212,1.1151056
227,0.04278916,0.9029736,0.3256319,1.044395
228,0.18684211,-0.023684211,0.2868421,0.07631579
229,0.16613144,-0.11510557,0.30755278,0.16773716
230,0.09542075,-0.04439489,0.37826347,0.09702647
231,0.18684211,0.028947365,0.2868421,0.12894736
232,0.16613144,-0.062473997,0.30755278,0.22036873
233,0.09542075,0.008236684,0.37826347,0.14965805
234,0.18684211,0.081578955,0.2868421,0.18157895
235,0.16613144,-0.009842411,0.30755278,0.2730003
236,0.09542075,0.06086827,0.37826347,0.20228964
237,0.18684211,0.13421053,0.2868421,0.23421052
238,0.16613144,0.04278916,0.30755278,0.3256319
239,0.09542075,0.11349984,0.37826347,0.2549212
240,0.18684211,0.18684211,0.2868421,0.2868421
241,0.16613144,0.09542075,0.30755278,0.37826347
242,0.09542075,0.16613144,0.37826347,0.30755278
243,0.18684211,0.23947369,0.2868421,0.3394737
244,0.16613144,0.14805232,0.30755278,0.43089503
245,0.09542075,0.218763,0.37826347,0.36018437
